Imagen: 001197_M_18_180340_5443109.jpg | Altura: 1.59 m | PB: 1.21 cm | PP: -2.72 cm | Clase: 0
Imagen: 0_M_33_187960_19277677.jpg | Altura: 1.84 m | PB: 1.59 cm | PP: -1.86 cm | Clase: 0
Imagen: 000558_M_33_172720_11403313.jpg | Altura: 1.76 m | PB: 1.59 cm | PP: -1.81 cm | Clase: 0
Imagen: 000614_M_40_175260_9071848.jpg | Altura: 1.60 m | PB: 1.12 cm | PP: -2.80 cm | Clase: 0
Imagen: 000728_F_28_167640_8391459.jpg | Altura: 1.54 m | PB: 1.11 cm | PP: -1.08 cm | Clase: 0
Imagen: 000565_F_26_160020_10432625.jpg | Altura: 1.78 m | PB: 1.69 cm | PP: -2.07 cm | Clase: 0
Imagen: 002141_M_30_177800_11267235.jpg | Altura: 1.79 m | PB: 0.88 cm | PP: -1.81 cm | Clase: 0
Imagen: 001075_F_27_157480_7842613.jpg | Altura: 1.64 m | PB: 0.98 cm | PP: -0.09 cm | Clase: 0
Imagen: 000268_M_18_165100_6486371.jpg | Altura: 1.58 m | PB: 0.47 cm | PP: -0.57 cm | Clase: 0
Imagen: 001166_M_31_167640_10205829.jpg | Altura: 1.66 m | PB: 1.86 cm | PP: -3.06 cm | Clase: 0
Imagen: 1_M_27_182880_11793402.jpg | Altura: 1.44 m | PB: 1.12 cm | PP: -3.25 cm | Clase: 0
Imagen: 000283_M_19_185420_9979033.jpg | Altura: 1.82 m | PB: 1.92 cm | PP: -1.48 cm | Clase: 0
Imagen: 002331_M_45_182880_15885664.jpg | Altura: 1.52 m | PB: 1.32 cm | PP: -2.33 cm | Clase: 0
Imagen: 001938_M_26_167640_10886218.jpg | Altura: 1.83 m | PB: 0.92 cm | PP: -0.40 cm | Clase: 0
Imagen: 000826_F_37_172720_11339810.jpg | Altura: 1.59 m | PB: 1.18 cm | PP: -1.80 cm | Clase: 0
Imagen: 0_M_27_170180_7937867.jpg | Altura: 1.51 m | PB: 1.24 cm | PP: -0.50 cm | Clase: 0
Imagen: 2_F_29_170180_8663615.jpg | Altura: 1.56 m | PB: 1.53 cm | PP: 0.71 cm | Clase: 0
Imagen: 002206_M_19_175260_6803886.jpg | Altura: 1.77 m | PB: 0.97 cm | PP: -0.80 cm | Clase: 0
Imagen: 0_M_21_177800_7257478.jpg | Altura: 1.58 m | PB: 1.66 cm | PP: -3.27 cm | Clase: 0
Imagen: 001788_M_23_198120_12564509.jpg | Altura: 1.56 m | PB: 1.39 cm | PP: -0.75 cm | Clase: 0
Imagen: 1_F_31_162560_8618256.jpg | Altura: 1.19 m | PB: 0.80 cm | PP: 2.84 cm | Clase: 0
Imagen: 001012_F_22_162560_8073945.jpg | Altura: 1.81 m | PB: 0.77 cm | PP: -1.64 cm | Clase: 0
Imagen: 001538_F_23_154940_8028585.jpg | Altura: 1.82 m | PB: 1.00 cm | PP: -1.63 cm | Clase: 0
Imagen: 0_M_41_175260_8618256.jpg | Altura: 1.38 m | PB: 1.41 cm | PP: -1.93 cm | Clase: 0
Imagen: 000276_M_18_182880_10432625.jpg | Altura: 1.75 m | PB: 0.70 cm | PP: -1.26 cm | Clase: 0
Imagen: 0_M_21_177800_10432625.jpg | Altura: 1.48 m | PB: 2.59 cm | PP: -3.20 cm | Clase: 0
Imagen: 000339_M_23_172720_11339810.jpg | Altura: 1.51 m | PB: 1.10 cm | PP: -2.29 cm | Clase: 0
Imagen: 000032_F_23_165100_6214216.jpg | Altura: 1.32 m | PB: 2.24 cm | PP: -2.75 cm | Clase: 0
Imagen: 001208_M_23_175260_9888314.jpg | Altura: 1.65 m | PB: 1.49 cm | PP: -1.99 cm | Clase: 0
Imagen: 001655_F_25_177800_11748043.jpg | Altura: 1.79 m | PB: 1.42 cm | PP: -2.64 cm | Clase: 0
Imagen: 0_F_23_160020_5896701.jpg | Altura: 1.59 m | PB: 1.12 cm | PP: -1.90 cm | Clase: 0
Imagen: 000502_M_22_190500_14152082.png | Altura: 1.65 m | PB: 1.10 cm | PP: -1.97 cm | Clase: 0
Imagen: 000562_M_46_190500_10432625.jpg | Altura: 1.91 m | PB: 2.54 cm | PP: -0.61 cm | Clase: 0
Imagen: 001191_M_21_167640_6577090.jpg | Altura: 1.77 m | PB: 1.51 cm | PP: -1.66 cm | Clase: 0
Imagen: 001178_M_31_167640_6350294.jpg | Altura: 1.54 m | PB: 1.26 cm | PP: -2.63 cm | Clase: 0
Imagen: 000959_F_46_149860_5307031.jpg | Altura: 1.73 m | PB: 0.69 cm | PP: -1.21 cm | Clase: 0
Imagen: 001126_M_37_167640_7937867.png | Altura: 1.46 m | PB: 1.33 cm | PP: -1.61 cm | Clase: 0
Imagen: 1_F_25_154940_5669905.jpg | Altura: 1.51 m | PB: 1.07 cm | PP: -0.94 cm | Clase: 0
Imagen: 001120_F_31_165100_8663615.jpg | Altura: 1.55 m | PB: 1.12 cm | PP: 0.64 cm | Clase: 0
Imagen: 2_M_31_172720_21545639.jpg | Altura: 1.68 m | PB: 1.24 cm | PP: -2.21 cm | Clase: 0
Imagen: 4_M_22_167640_14106724.png | Altura: 1.60 m | PB: 1.19 cm | PP: -1.58 cm | Clase: 0
Imagen: 1_F_20_177800_10387266.jpg | Altura: 1.50 m | PB: 0.99 cm | PP: -0.02 cm | Clase: 0
Imagen: 000960_F_28_160020_7937867.jpg | Altura: 1.52 m | PB: 2.30 cm | PP: -2.93 cm | Clase: 0
Imagen: 0_M_36_177800_13562413.jpg | Altura: 1.52 m | PB: 1.70 cm | PP: -1.43 cm | Clase: 0
Imagen: 000458_M_31_182880_11294451.jpg | Altura: 1.64 m | PB: 1.27 cm | PP: -1.49 cm | Clase: 0
Imagen: 001831_F_28_175260_6803886.jpg | Altura: 1.64 m | PB: 1.06 cm | PP: -1.49 cm | Clase: 0
Imagen: 001107_M_19_180340_7937867.jpg | Altura: 1.43 m | PB: 1.29 cm | PP: -2.48 cm | Clase: 0
Imagen: 002255_M_34_180340_21282555.jpg | Altura: 1.96 m | PB: 1.33 cm | PP: -0.33 cm | Clase: 0
Imagen: 001280_M_40_170180_7847149.jpg | Altura: 1.33 m | PB: 1.88 cm | PP: -1.01 cm | Clase: 0
Imagen: 002009_M_27_175260_9525440.jpg | Altura: 1.49 m | PB: 2.21 cm | PP: -2.08 cm | Clase: 0
Imagen: 001301_M_27_170180_7937867.jpg | Altura: 1.98 m | PB: 0.92 cm | PP: -0.48 cm | Clase: 0
Imagen: 000600_M_38_167640_8119304.jpg | Altura: 1.72 m | PB: 1.46 cm | PP: -0.03 cm | Clase: 0
