000669_F_30_147320_5896701.jpg | Altura: 1.620 m | Peso: 72.2 kg | Clase_NET: normal | Clase_REGLA: normal
001289_M_35_187960_8935770.jpg | Altura: 1.833 m | Peso: 93.9 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
000581_M_35_172720_7801788.png | Altura: 1.801 m | Peso: 93.3 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
002038_F_32_172720_6758526.jpg | Altura: 1.657 m | Peso: 82.8 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
000704_F_20_172720_11611965.jpg | Altura: 1.724 m | Peso: 69.7 kg | Clase_NET: normal | Clase_REGLA: normal
000276_M_18_182880_10432625.jpg | Altura: 1.751 m | Peso: 88.1 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
002178_M_30_182880_9888314.jpg | Altura: 1.834 m | Peso: 98.1 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
000365_M_24_185420_7756430.jpg | Altura: 1.786 m | Peso: 81.2 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
002287_M_36_193040_10795499.jpg | Altura: 1.788 m | Peso: 77.1 kg | Clase_NET: normal | Clase_REGLA: normal
001734_F_27_180340_7711071.jpg | Altura: 1.670 m | Peso: 94.6 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
001135_M_24_180340_9842955.jpg | Altura: 1.841 m | Peso: 81.6 kg | Clase_NET: normal | Clase_REGLA: normal
1_M_30_172720_11884121.jpg | Altura: 1.754 m | Peso: 100.5 kg | Clase_NET: normal | Clase_REGLA: obesidad
1_F_31_177800_8482178.jpg | Altura: 1.671 m | Peso: 88.5 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
000183_F_29_158750_12745946.jpg | Altura: 1.668 m | Peso: 93.6 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
001140_M_54_177800_7257478.jpg | Altura: 1.765 m | Peso: 96.0 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
1_M_40_180340_20547736.jpg | Altura: 1.776 m | Peso: 137.3 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001345_M_28_190500_8981130.jpg | Altura: 1.786 m | Peso: 110.9 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001291_M_28_172720_10432625.png | Altura: 1.785 m | Peso: 99.4 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
1_M_27_187960_6350294.jpg | Altura: 1.750 m | Peso: 92.4 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001162_M_25_160020_9525440.jpg | Altura: 1.782 m | Peso: 91.2 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000663_F_35_167640_7484274.jpg | Altura: 1.675 m | Peso: 107.7 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
000044_F_21_167640_5715264.jpg | Altura: 1.651 m | Peso: 75.5 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001679_F_26_162560_6078138.jpg | Altura: 1.634 m | Peso: 72.6 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
002319_M_41_193040_11113014.jpg | Altura: 1.821 m | Peso: 108.7 kg | Clase_NET: sobrepeso | Clase_REGLA: obesidad
000851_F_26_157480_9752237.png | Altura: 1.659 m | Peso: 104.9 kg | Clase_NET: sobrepeso | Clase_REGLA: obesidad
002001_F_32_168910_10704781.jpg | Altura: 1.705 m | Peso: 85.4 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
1_M_20_193040_7484274.jpg | Altura: 1.784 m | Peso: 89.5 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
000532_M_28_170180_7257478.png | Altura: 1.830 m | Peso: 64.6 kg | Clase_NET: normal | Clase_REGLA: desnutricion
0_M_22_165100_6803886.jpg | Altura: 1.741 m | Peso: 93.4 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
001328_M_26_185420_8663615.jpg | Altura: 1.813 m | Peso: 69.4 kg | Clase_NET: normal | Clase_REGLA: riesgo
001631_M_22_177800_8890411.jpg | Altura: 1.762 m | Peso: 110.0 kg | Clase_NET: sobrepeso | Clase_REGLA: obesidad
000329_M_22_182880_8300740.jpg | Altura: 1.788 m | Peso: 87.9 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001317_M_31_167640_8550217.jpg | Altura: 1.815 m | Peso: 90.8 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001004_F_22_160020_6939964.jpg | Altura: 1.672 m | Peso: 72.0 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
002210_M_19_185420_13380976.jpg | Altura: 1.882 m | Peso: 109.6 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
000565_F_26_160020_10432625.jpg | Altura: 1.631 m | Peso: 89.4 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
000586_M_36_177800_7302838.jpg | Altura: 1.745 m | Peso: 82.2 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
000341_M_23_175260_7937867.jpg | Altura: 1.852 m | Peso: 91.2 kg | Clase_NET: normal | Clase_REGLA: normal
000097_F_34_160020_6350294.jpg | Altura: 1.604 m | Peso: 81.3 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000274_M_18_195580_9752237.jpg | Altura: 1.793 m | Peso: 95.7 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
002082_M_28_190500_7847149.jpg | Altura: 1.883 m | Peso: 83.1 kg | Clase_NET: normal | Clase_REGLA: normal
1_F_26_160020_6577090.jpg | Altura: 1.606 m | Peso: 72.3 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
000346_M_23_175260_10886218.jpg | Altura: 1.776 m | Peso: 107.0 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
000495_M_20_187960_9298644.png | Altura: 1.727 m | Peso: 84.8 kg | Clase_NET: riesgo | Clase_REGLA: sobrepeso
001910_F_29_165100_11113014.jpg | Altura: 1.662 m | Peso: 104.0 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
1_M_21_177800_7121401.jpg | Altura: 1.771 m | Peso: 99.3 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
000592_M_37_176530_6622449.jpg | Altura: 1.756 m | Peso: 82.5 kg | Clase_NET: normal | Clase_REGLA: normal
000038_F_21_172720_7484274.jpg | Altura: 1.668 m | Peso: 72.4 kg | Clase_NET: normal | Clase_REGLA: normal
001884_F_29_162560_5352390.jpg | Altura: 1.730 m | Peso: 77.6 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001428_f_20_177800_13607772.jpg | Altura: 1.724 m | Peso: 94.7 kg | Clase_NET: sobrepeso | Clase_REGLA: obesidad
001227_M_29_172720_9480081.jpg | Altura: 1.746 m | Peso: 75.8 kg | Clase_NET: normal | Clase_REGLA: normal
0_F_26_167640_6939964.jpg | Altura: 1.647 m | Peso: 78.4 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000169_F_28_172720_11430528.png | Altura: 1.691 m | Peso: 111.5 kg | Clase_NET: sobrepeso | Clase_REGLA: obesidad
0_F_31_152400_7257478.jpg | Altura: 1.675 m | Peso: 76.7 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
3_F_26_170180_12020199.jpg | Altura: 1.712 m | Peso: 106.8 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
000083_F_24_167640_8391459.jpg | Altura: 1.627 m | Peso: 82.0 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
0_F_20_160020_6395653.png | Altura: 1.638 m | Peso: 71.0 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
0_F_23_162560_8391459.png | Altura: 1.644 m | Peso: 89.4 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000640_M_47_170180_8527537.jpg | Altura: 1.793 m | Peso: 88.6 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
1_M_27_182880_12564509.jpg | Altura: 1.802 m | Peso: 100.0 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
1_F_20_177800_10387266.jpg | Altura: 1.697 m | Peso: 92.7 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001817_M_24_175260_10432625.jpg | Altura: 1.867 m | Peso: 100.9 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
1_F_25_160020_8119304.png | Altura: 1.604 m | Peso: 79.7 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
002147_F_40_165100_14152082.jpg | Altura: 1.648 m | Peso: 105.1 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
002008_F_32_160020_7484274.jpg | Altura: 1.621 m | Peso: 71.7 kg | Clase_NET: normal | Clase_REGLA: normal
000484_M_32_177800_14968548.jpg | Altura: 1.816 m | Peso: 150.0 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001831_F_28_175260_6803886.jpg | Altura: 1.616 m | Peso: 79.3 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
002304_M_38_193040_10976936.jpg | Altura: 1.806 m | Peso: 85.2 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
002202_M_31_172720_12655228.jpg | Altura: 1.768 m | Peso: 78.1 kg | Clase_NET: obesidad | Clase_REGLA: normal
0_M_23_167640_21500280.jpg | Altura: 1.797 m | Peso: 139.4 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
000621_F_32_172720_6803886.jpg | Altura: 1.665 m | Peso: 81.0 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
1_F_27_170180_5443109.jpg | Altura: 1.648 m | Peso: 70.3 kg | Clase_NET: normal | Clase_REGLA: normal
001571_M_21_175260_8164663.jpg | Altura: 1.801 m | Peso: 103.1 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
000195_F_28_147320_6350294.jpg | Altura: 1.644 m | Peso: 84.7 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
2_M_25_165100_8073945.png | Altura: 1.821 m | Peso: 113.4 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
000393_M_27_182880_11566606.jpg | Altura: 1.764 m | Peso: 89.7 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
0_F_15_162560_6123497.jpg | Altura: 1.613 m | Peso: 65.5 kg | Clase_NET: normal | Clase_REGLA: normal
1_F_22_172720_7257478.jpg | Altura: 1.650 m | Peso: 63.0 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
0_M_32_185420_18143696.jpg | Altura: 1.787 m | Peso: 136.3 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001517_M_19_193040_9162566.jpg | Altura: 1.780 m | Peso: 71.5 kg | Clase_NET: riesgo | Clase_REGLA: normal
002312_M_40_180340_9525440.jpg | Altura: 1.832 m | Peso: 108.4 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
1_F_31_165100_7756430.jpg | Altura: 1.644 m | Peso: 76.8 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000140_F_27_177800_7574993.jpg | Altura: 1.602 m | Peso: 58.7 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
002039_M_27_182880_10568703.jpg | Altura: 1.820 m | Peso: 121.0 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001189_M_22_172720_9525440.jpg | Altura: 1.793 m | Peso: 87.8 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001755_M_23_185420_9071848.jpg | Altura: 1.752 m | Peso: 88.1 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
001235_M_20_175260_7484274.jpg | Altura: 1.801 m | Peso: 79.2 kg | Clase_NET: normal | Clase_REGLA: normal
001925_F_30_154940_6577090.jpg | Altura: 1.566 m | Peso: 68.3 kg | Clase_NET: normal | Clase_REGLA: normal
001281_M_24_195580_8935770.jpg | Altura: 1.882 m | Peso: 80.0 kg | Clase_NET: normal | Clase_REGLA: normal
000983_F_24_154940_10432625.jpg | Altura: 1.681 m | Peso: 88.5 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000573_M_34_170180_16329326.png | Altura: 1.782 m | Peso: 102.9 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001153_M_30_172720_13607772.jpg | Altura: 1.746 m | Peso: 101.8 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001214_M_29_175260_7484274.jpg | Altura: 1.798 m | Peso: 83.7 kg | Clase_NET: normal | Clase_REGLA: normal
000971_F_31_167640_7937867.jpg | Altura: 1.659 m | Peso: 78.0 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
001338_M_20_182880_8890411.jpg | Altura: 1.888 m | Peso: 98.0 kg | Clase_NET: normal | Clase_REGLA: normal
000199_F_30_180340_11974839.png | Altura: 1.644 m | Peso: 78.8 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001251_M_22_187960_16329326.jpg | Altura: 1.759 m | Peso: 126.9 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001575_M_21_177800_11339810.jpg | Altura: 1.708 m | Peso: 84.9 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
001198_M_27_175260_8618256.jpg | Altura: 1.750 m | Peso: 108.7 kg | Clase_NET: normal | Clase_REGLA: obesidad
000806_F_26_154940_7484274.png | Altura: 1.611 m | Peso: 101.9 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
000014_F_19_172720_6577090.jpg | Altura: 1.713 m | Peso: 72.8 kg | Clase_NET: riesgo | Clase_REGLA: normal
001549_M_20_177800_11203732.jpg | Altura: 1.788 m | Peso: 100.2 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
000407_M_29_182880_6803886.jpg | Altura: 1.794 m | Peso: 86.9 kg | Clase_NET: normal | Clase_REGLA: normal
000363_M_24_182880_9570800.jpg | Altura: 1.783 m | Peso: 91.5 kg | Clase_NET: riesgo | Clase_REGLA: sobrepeso
0_M_34_177800_8482178.jpg | Altura: 1.844 m | Peso: 98.0 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001184_M_20_170180_6441012.jpg | Altura: 1.769 m | Peso: 106.4 kg | Clase_NET: sobrepeso | Clase_REGLA: obesidad
000181_F_23_162560_11294451.jpg | Altura: 1.653 m | Peso: 73.9 kg | Clase_NET: normal | Clase_REGLA: normal
1_M_20_162560_9888314.jpg | Altura: 1.785 m | Peso: 127.5 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
1_M_27_185420_8164663.jpg | Altura: 1.787 m | Peso: 90.5 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000092_F_24_157480_4853439.jpg | Altura: 1.665 m | Peso: 74.2 kg | Clase_NET: normal | Clase_REGLA: normal
1_F_26_177800_14514957.jpg | Altura: 1.629 m | Peso: 88.6 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000857_F_23_162560_7484274.jpg | Altura: 1.662 m | Peso: 81.7 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
3_M_31_195580_10523344.jpg | Altura: 1.832 m | Peso: 118.8 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
0_F_28_157480_9071848.jpg | Altura: 1.638 m | Peso: 93.7 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
002120_M_29_182880_10614062.jpg | Altura: 1.835 m | Peso: 114.3 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
0_F_29_160020_5987420.jpg | Altura: 1.669 m | Peso: 74.5 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
0_F_24_175260_9207926.png | Altura: 1.668 m | Peso: 85.6 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
000898_F_19_165100_6105354.jpg | Altura: 1.663 m | Peso: 67.8 kg | Clase_NET: normal | Clase_REGLA: normal
001653_F_25_172720_6214216.jpg | Altura: 1.678 m | Peso: 65.7 kg | Clase_NET: normal | Clase_REGLA: normal
000502_M_22_190500_14152082.png | Altura: 1.826 m | Peso: 140.8 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001137_M_37_185420_7801788.jpg | Altura: 1.807 m | Peso: 63.4 kg | Clase_NET: normal | Clase_REGLA: riesgo
001649_M_22_172720_12020199.jpg | Altura: 1.798 m | Peso: 101.6 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
001862_M_25_180340_14514957.jpg | Altura: 1.833 m | Peso: 125.9 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
002114_F_36_157480_11566606.jpg | Altura: 1.653 m | Peso: 98.2 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
000061_F_23_149860_6577090.jpg | Altura: 1.610 m | Peso: 82.2 kg | Clase_NET: obesidad | Clase_REGLA: sobrepeso
002032_M_27_193040_14978522.jpg | Altura: 1.803 m | Peso: 138.7 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
000542_M_33_170180_5987420.jpg | Altura: 1.762 m | Peso: 83.6 kg | Clase_NET: normal | Clase_REGLA: normal
002133_M_29_187960_12246995.jpg | Altura: 1.813 m | Peso: 119.8 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001424_F_20_154940_8028585.jpg | Altura: 1.617 m | Peso: 69.7 kg | Clase_NET: normal | Clase_REGLA: normal
000977_F_24_167640_7937867.jpg | Altura: 1.587 m | Peso: 74.1 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
000869_F_25_160020_5443109.jpg | Altura: 1.670 m | Peso: 66.8 kg | Clase_NET: normal | Clase_REGLA: normal
001306_M_37_175260_8618256.jpg | Altura: 1.826 m | Peso: 87.0 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
000165_F_28_157480_7484274.jpg | Altura: 1.700 m | Peso: 91.6 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
001924_M_26_177800_8890411.jpg | Altura: 1.807 m | Peso: 83.5 kg | Clase_NET: sobrepeso | Clase_REGLA: normal
001386_F_21_175260_7711071.jpg | Altura: 1.647 m | Peso: 87.7 kg | Clase_NET: sobrepeso | Clase_REGLA: sobrepeso
000458_M_31_182880_11294451.jpg | Altura: 1.760 m | Peso: 101.0 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
2_M_43_177800_18960162.jpg | Altura: 1.784 m | Peso: 136.7 kg | Clase_NET: obesidad | Clase_REGLA: obesidad
001603_M_21_172720_7257478.jpg | Altura: 1.795 m | Peso: 93.6 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
0_F_43_167640_6713168.jpg | Altura: 1.703 m | Peso: 76.9 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
002080_F_33_170180_13154180.jpg | Altura: 1.667 m | Peso: 68.0 kg | Clase_NET: normal | Clase_REGLA: normal
001839_M_24_185420_9298644.jpg | Altura: 1.794 m | Peso: 98.5 kg | Clase_NET: normal | Clase_REGLA: sobrepeso
